Altium Designer Pick and Place Locations
C:\Users\rafal\Desktop\SaraKit v11 bez opisu biura projektowego\SaraKit_MainBoard\out\[ASSEMBLY] SaraKit_MainBoard-v1.1 (2023-07-04)\Pick Place\[P&P] SaraKit_MainBoard [Standard] [v1.1] (2023-07-04 18-44).csv

========================================================================================================================
File Design Information:

Date:       04.07.23
Time:       18:44
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

"Designator","Description","08 Parameter 1","07 Package","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"J404","THT 1x3 1.25mm Straight 125V 1A","1x3","","53047-0310","TopLayer","MOLEX_53047-0310","-23.3071","-36.1516","325"
"R402","SMT 0402c 100R 5% 62.5mW 200ppm/K 50V","100R","0402c","0402WGJ0101TCE","TopLayer","RESC1005X40L","-10.2250","-25.0000","180"
"C406","SMT 0402c 680pF 50V 0,05 C0G 229MHz 125'C","680pF","0402c","C0402C681J5GAC","TopLayer","CAPC1005X60L","-14.4750","-28.5500","270"
"C414","SMT 1210c 10uF 50V 10% X7R 125°C","10uF","1210c","CL32B106KBJNNNE","TopLayer","CAPC3225X270L","31.5000","-26.4750","90"
"R502","SMT 0402c 8.2k 1% 62.5mW 100ppm/K 50V","8.2k","0402c","RC0402FR-078K2L","TopLayer","RESC1005X40L","34.9000","7.2000","270"
"R501","SMT 0603c 22R 1% 100mW 100ppm/K 75V","22R","0603c","RC0603FR-0722RL","TopLayer","RESC1608X55L","6.9000","-13.7000","90"
"R500","SMT 0402c 43k 1% 62.5mW 100ppm/K 50V","43k","0402c","RC0402FR-0743KL","TopLayer","RESC1005X40L","33.1000","7.2000","90"
"C504","SMT 0603c 3.3nF 50V 10% X7R 125°C","3.3nF","0603c","CL10B332KB8NNNC","TopLayer","CAPC1608X90L","30.4000","8.0000","0"
"C500","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","8.0000","-14.0750","270"
"J403","THT 1X5 2.54mm Straight 110V 3A","1X5","","G800W303018EU","TopLayer","Goldpin_2.54_1x5","-1.1850","-42.2500","0"
"J105","THT 2X5 2.54mm Straight 110V 3A","2X5","","10129381-910001BLF","TopLayer","GOLDPIN_2.54_2X5","28.5000","21.0000","0"
"J104","THT 2X5 2.54mm Straight 110V 3A","2X5","","10129381-910001BLF","TopLayer","GOLDPIN_2.54_2X5","28.5000","15.5000","0"
"U600","SMT LGA-16 ACCELEROMETER 1.71V - 3.6V +/- 16g","ACCELEROMETER","LGA-16","LIS3DH","TopLayer","LGA16R50P5X3_300X300X100","-9.2500","-21.7500","180"
"C601","SMT 0402c 1uF 16V 10% X5R 11.9MHz 85'C","1uF","0402c","CL05A105KO5NNNC","TopLayer","CAPC1005X60L","-10.2500","-24.0000","0"
"C600","SMT 0402c 1uF 16V 10% X5R 11.9MHz 85'C","1uF","0402c","CL05A105KO5NNNC","TopLayer","CAPC1005X60L","-7.0000","-21.7500","270"
"D100","SMT SC-70 6.5V 5.5A 85W Bidirectional 12.4V 10nA","6.5V","SC-70","TPD2E2U06DCKR","TopLayer","SOT65P210X110-3L","4.6000","7.6750","180"
"R109","SMT 0402c 10k 1% 62.5mW 100ppm/K 50V","10k","0402c","RC0402FR-0710KL","TopLayer","RESC1005X40L","-38.7250","-19.6000","180"
"Q100","SMT SOT-323 NPN 45V 0.5A 0.2W","NPN","SOT-323","BC817-40W","TopLayer","SOT65P210X110-3L","-39.3000","-17.8500","180"
